,Ttf-idf,CF,PDCS,PDPS
d_008,0.375026265,0.650269465,0.655955605,0.672316429
d_038,0.388913241,0.691482874,0.674279996,0.6507758
d_041,0.437857503,0.627085502,0.640188499,0.614745391
d_070,0.935046971,0.840868697,0.814674171,0.961251755
d_112,0.46557192,0.647322111,0.648812922,0.582602269
d_197,0.784903009,0.818372321,0.798155723,0.908762809
d_198,0.857395081,0.862854481,0.824216815,0.945327528
d_244,0.863967197,0.63133841,0.648543447,0.876201488
d_250,0.905206938,0.8452873,0.816103404,0.920114939
d_263,0.391693813,0.677804966,0.65071282,0.630320409
d_272,0.778977342,0.724910031,0.71730719,0.829172683
d_274,0.797520987,0.715964004,0.72179878,0.874448874
d_275,0.434794947,0.668420196,0.668097766,0.631636255
d_276,0.405504243,0.633987544,0.621636758,0.626799083
d_278,0.761186379,0.72375012,0.708262075,0.840236987
d_280,0.381474965,0.582607694,0.638236695,0.678812712
d_285,0.380587289,0.617121095,0.621553811,0.636333352
d_286,0.413977876,0.692775194,0.655063148,0.663188921
d_287,0.379289272,0.653766383,0.62969354,0.678772003
d_288,0.412150978,0.683887912,0.684028292,0.692239757
d_293,0.474579425,0.643566219,0.660150143,0.644219015
d_294,0.781742064,0.736743864,0.778147541,0.861847304
d_300,0.546221534,0.698300589,0.707062626,0.796676479
d_303,0.663201634,0.871729789,0.855012283,0.925864078
d_305,0.437294238,0.737641681,0.730911702,0.837136076
d_311,0.333477836,0.662247737,0.670249992,0.739088622
d_327,0.857913562,0.768950977,0.757748353,0.902375283
d_338,0.369126095,0.767701183,0.765969623,0.783226301
d_345,0.779978995,0.765555369,0.74513072,0.834780747
d_348,0.381010112,0.666867513,0.650945459,0.682020374
d_357,0.796776606,0.836447258,0.82081983,0.8863806
d_362,0.803787184,0.817549651,0.808203895,0.862212732
d_401,0.75306513,0.747435755,0.648539958,0.770410141
d_403,0.82362469,0.857617691,0.845303412,0.878687452
d_410,0.315104545,0.710434171,0.687546602,0.764354552
d_412,0.585233918,0.725159502,0.695662364,0.789843968
d_414,0.810946699,0.79267685,0.796066926,0.862327885
d_416,0.43567327,0.739514583,0.740260734,0.817725402
d_424,0.290388698,0.715221813,0.694290811,0.80002805
d_425,0.754081984,0.71819096,0.692646475,0.846275273
d_427,0.761857938,0.762375745,0.730160266,0.807333857
d_428,0.790449048,0.820686187,0.782961996,0.841530367
d_438,0.69448602,0.720123348,0.74493389,0.764237559
d_440,0.306229549,0.775247969,0.738636251,0.841646487
d_441,0.531694018,0.768204477,0.713016028,0.890506356
d_443,0.330048377,0.721096677,0.703589162,0.792087834
d_453,0.41895873,0.630412615,0.586514807,0.593814548
d_456,0.556630441,0.935405804,0.912543324,0.960174912
d_458,0.434556075,0.57602091,0.588042746,0.619229224
d_482,0.388006723,0.688002312,0.674449749,0.636931293
d_486,0.434034961,0.617639466,0.605402192,0.626015926
d_491,0.392217782,0.818551261,0.782919791,0.848441626
d_493,0.844784198,0.722365594,0.700193681,0.872727903
d_496,0.771372552,0.692126608,0.666631035,0.821277975
d_507,0.400646181,0.664984809,0.631668281,0.654664604
d_511,0.399146247,0.64105212,0.590820498,0.635897705
d_518,0.586878158,0.671702661,0.602765651,0.654683049
d_519,0.682829704,0.798024932,0.744535031,0.777138123
d_530,0.739150268,0.631910871,0.618861295,0.764630597
d_560,0.441047688,0.598644616,0.579936577,0.617172091
d_562,0.309386388,0.647802916,0.668172913,0.775374882
d_564,0.424224948,0.645549554,0.692089284,0.68143588
d_569,0.320988238,0.705056385,0.655355257,0.704760765
d_571,0.888818951,0.893187729,0.829380876,0.926758569
d_572,0.613998001,0.915841252,0.859044667,0.915647814
d_577,0.346306086,0.714469189,0.657546886,0.754129263
d_578,0.396576693,0.62873878,0.619305525,0.673670095
d_584,0.611966934,0.685660357,0.650024271,0.698366887
d_585,0.835425386,0.863384889,0.80458763,0.87950482
d_599,0.397220287,0.629276487,0.612940962,0.642141388
d_600,0.697294903,0.697440408,0.733508809,0.872502085
d_682,0.416430598,0.621875494,0.577552339,0.588463389
d_707,0.675503433,0.74134179,0.679988336,0.736533983
d_715,0.379441612,0.686781379,0.688060209,0.82322287
d_733,0.701980303,0.663637148,0.672279054,0.829450586
d_995,0.376074528,0.701245674,0.650868131,0.655126062
d_996,0.34283355,0.700769583,0.595741535,0.675149103
d_997,0.443033518,0.626280141,0.575030565,0.602556935
d_998,0.420602338,0.669255483,0.58946813,0.621928355
d_E8798,0.401969255,0.649763343,0.627809999,0.601242617
