,Ttf-idf,CF,PDCS,PDPS
d_008,0.415740214,0.781890796,0.617427532,0.766996325
d_038,0.451813802,0.685629545,0.569738137,0.698511138
d_041,0.781913681,0.835309445,0.810732165,0.898184091
d_070,0.711211765,0.828247983,0.819817407,0.870067437
d_112,0.376228233,0.728663814,0.568462184,0.769350225
d_197,0.874145573,0.89345332,0.84271777,0.934745337
d_198,0.800923259,0.756515964,0.684818539,0.872132549
d_244,0.884535419,0.912382562,0.842406575,0.931137294
d_250,0.797127896,0.696543965,0.662691279,0.849795108
d_263,0.804825527,0.823752336,0.753239402,0.853442615
d_272,0.48771347,0.759576884,0.699387915,0.817164755
d_274,0.706248225,0.790300398,0.752711248,0.853682899
d_275,0.662801229,0.762744055,0.705949903,0.850855479
d_276,0.506475296,0.80022938,0.615882522,0.821013254
d_278,0.421889947,0.736619356,0.577009378,0.708938409
d_280,0.832937421,0.895503406,0.853649242,0.891316088
d_285,0.419967024,0.656984402,0.635010896,0.800452686
d_286,0.414050573,0.704443481,0.597588263,0.768288909
d_287,0.738991022,0.911225631,0.836680206,0.894201679
d_288,0.407282779,0.731236159,0.651896438,0.764209493
d_293,0.385476021,0.78499932,0.664443531,0.776159634
d_294,0.465905992,0.766679639,0.659989473,0.736109013
d_300,0.378837164,0.769417986,0.79060664,0.861074396
d_303,0.670285938,0.752193832,0.763129268,0.827320079
d_305,0.418522855,0.817383566,0.797607709,0.831658227
d_311,0.502136162,0.667872133,0.632354315,0.763239667
d_327,0.485614847,0.751893416,0.743439265,0.787835978
d_338,0.705703285,0.669366154,0.636327634,0.80502067
d_345,0.457253883,0.712667145,0.659156123,0.724446356
d_348,0.495122567,0.757260789,0.721482645,0.860220242
d_357,0.761248903,0.762671699,0.732245976,0.812103427
d_362,0.762258868,0.880807466,0.829944887,0.89681935
d_401,0.861673409,0.871170539,0.842934001,0.909003131
d_403,0.522115562,0.754122298,0.703233329,0.806332411
d_410,0.840925345,0.862705796,0.814475186,0.916049981
d_412,0.721545406,0.82247687,0.787141287,0.888398894
d_414,0.675034299,0.827733964,0.809037721,0.879209104
d_416,0.803713966,0.820235249,0.813619212,0.877058237
d_424,0.850730778,0.86798276,0.853010013,0.899985035
d_425,0.54712647,0.788766889,0.748671604,0.826052825
d_427,0.809360469,0.825906899,0.805346217,0.908653684
d_428,0.401285332,0.783710667,0.677831882,0.810840514
d_438,0.631271915,0.685762227,0.639618979,0.815711999
d_440,0.413542104,0.734294419,0.627855844,0.7157991
d_441,0.721049919,0.834298298,0.808528488,0.865876213
d_443,0.714239241,0.679429863,0.681448304,0.841152561
d_453,0.834749751,0.803588645,0.777784389,0.887410397
d_456,0.493876768,0.768961508,0.522955302,0.740299104
d_458,0.524054975,0.685638281,0.610084188,0.781753989
d_482,0.558345242,0.69501331,0.600722925,0.776548203
d_486,0.472345682,0.673184225,0.60932647,0.728602084
d_491,0.838792277,0.880330416,0.85825563,0.900592856
d_493,0.815487118,0.916732312,0.870074946,0.912637258
d_496,0.638407442,0.749519201,0.747037486,0.836659714
d_507,0.420185387,0.764791925,0.713209907,0.785961238
d_511,0.45409541,0.78928152,0.586521453,0.739481283
d_518,0.822994336,0.869077373,0.824525903,0.8962504
d_519,0.606614583,0.764587374,0.706793059,0.798050018
d_530,0.405885701,0.677523305,0.646368113,0.694038056
d_560,0.596712688,0.764969,0.76651313,0.853485803
d_562,0.479644916,0.946167594,0.91947204,0.955684195
d_564,0.500896597,0.932619235,0.888153442,0.945877775
d_569,0.71322916,0.943249535,0.919115959,0.947288745
d_571,0.274337519,0.93313098,0.877373942,0.861007603
d_572,0.387342339,0.940745027,0.910600716,0.913455732
d_577,0.346797298,0.905721668,0.855348661,0.841573771
d_578,0.364898961,0.740441055,0.708659683,0.726019967
d_584,0.634720694,0.760928397,0.691274532,0.847778658
d_585,0.407532207,0.746604908,0.717021514,0.830750168
d_599,0.376355577,0.67131137,0.646647061,0.693331763
d_600,0.319711414,0.6410067,0.631494137,0.719688921
d_682,0.447028207,0.686301375,0.660363891,0.753376544
d_707,0.382089321,0.634992552,0.601790711,0.71418648
d_715,0.429537919,0.697157358,0.618975889,0.776117733
d_733,0.624954813,0.97392936,0.940094721,0.977407871
d_995,0.510797537,0.970033682,0.914076291,0.980812119
d_996,0.705413767,0.968676929,0.956864573,0.981652855
d_997,0.448972886,0.700004792,0.543739143,0.670850541
d_998,0.647278744,0.804397031,0.647505654,0.840528159
d_E8798,0.419367587,0.641697169,0.628096321,0.696495017
