Diagnosis,Description,0,2,4,6,8,10
d_008,Intestinal infections due to other organisms,0.516660875,0.582351835,0.630992522,0.641514705,0.655955605,0.66294847
d_038,Septicemia,0.550907571,0.612439777,0.654552885,0.670174102,0.674279996,0.678101142
d_041,Bacterial infection in conditions classified elsewhere and of unspecified site,0.525500667,0.557582063,0.606637234,0.627122569,0.640188499,0.647758131
d_070,Viral hepatitis,0.712968902,0.770593618,0.798735828,0.811522514,0.814674171,0.81298132
d_112,Candidiasis,0.498939416,0.587546028,0.625301446,0.639650257,0.648812922,0.648524055
d_197,Secondary malignant neoplasm of respiratory and digestive systems,0.776770349,0.814252746,0.816751151,0.81326381,0.798155723,0.78215737
d_198,Secondary malignant neoplasm of other specified sites,0.824190899,0.850356209,0.849624066,0.83972645,0.824216815,0.812451766
d_244,Acquired hypothyroidism,0.567963524,0.631473758,0.650585421,0.645420863,0.648543447,0.645888707
d_250,Diabetes mellitus,0.726325813,0.778492746,0.806255947,0.815327009,0.816103404,0.810211086
d_263,Other and unspecified protein-calorie malnutrition,0.510497923,0.598461439,0.617079762,0.648270286,0.65071282,0.654373131
d_272,Disorders of lipoid metabolism,0.66025594,0.692318907,0.711327616,0.719997562,0.71730719,0.711876201
d_274,Gout,0.636432927,0.688782051,0.704778828,0.71823736,0.72179878,0.71882637
d_275,Disorders of mineral metabolism,0.556702368,0.631055474,0.6445843,0.664457464,0.668097766,0.674697913
d_276,"Disorders of fluid, electrolyte, and acid-base balance",0.523831,0.570006734,0.600953826,0.616149944,0.621636758,0.625707673
d_278,"Overweight, obesity and other hyperalimentation",0.665435128,0.70817007,0.711375198,0.71105228,0.708262075,0.705459241
d_280,Iron deficiency anemias,0.561541779,0.60199104,0.626106299,0.639425385,0.638236695,0.636485271
d_285,Other and unspecified anemias,0.521688356,0.567059315,0.602940888,0.611405338,0.621553811,0.622870663
d_286,Coagulation defects,0.573653515,0.656284296,0.656154342,0.654578173,0.655063148,0.650824841
d_287,Purpura and other hemorrhagic conditions,0.534468119,0.601565785,0.627100982,0.632590101,0.62969354,0.625265711
d_288,Diseases of white blood cells,0.604795678,0.652561166,0.6842728,0.693120989,0.684028292,0.683668472
d_293,Transient mental disorders due to conditions classified elsewhere,0.517209693,0.631863191,0.663443228,0.659701606,0.660150143,0.663117869
d_294,Persistent mental disorders due to conditions classified elsewhere,0.76066824,0.809271629,0.798236071,0.791270571,0.778147541,0.776748486
